"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"128","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","1",177,"YR"
"129","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","2",174,"YR"
"130","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","3",175,"YR"
"131","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","4",175,"YR"
"132","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","5",175,"YR"
"133","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","6",174,"YR"
"134","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","7",176,"YR"
"135","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","8",174,"YR"
"136","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","9",173,"YR"
"137","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"CTL","10",173,"YR"
"138","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","1",176,"YR"
"139","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","2",175,"YR"
"140","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","3",176,"YR"
"141","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","4",176,"YR"
"142","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","5",174,"YR"
"143","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","6",176,"YR"
"144","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","7",173,"YR"
"145","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","8",173,"YR"
"146","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","9",169,"YR"
"147","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","10",173,"YR"
"148","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2008,"OTC","11",173,"YR"
"149","ALEXFIORD_ALEXFIORD.DRYAS.GH_1992_CTL","ALEXFIORD","ALEXFIORD.DRYAS.GH",1992,"CTL","1",170,"YR"
