Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Utqiagvik_2008,-1.97224,0.61604,-3.22189,-0.75579,End of Flowering,592
Utqiagvik_2008,-2.47312,1.90418,-6.48215,1.127049,Fruiting,457
Utqiagvik_2008,-2.82476,1.50398,-5.78598,0.124338,Seed Dispersal,40
Utqiagvik_2008,0.817829,0.437219,-0.0615,1.693951,Leaf Senescence,508
Utqiagvik_2010,-0.70038,0.567798,-1.91971,0.357415,Green up,381
Utqiagvik_2010,-2.47776,0.665285,-3.88359,-1.23446,Flowering,627
Utqiagvik_2010,-1.90795,0.652367,-3.22757,-0.58955,End of Flowering,495
Utqiagvik_2010,-2.99337,1.959337,-7.1181,0.725988,Fruiting,382
Utqiagvik_2010,-2.99044,1.545733,-6.16259,-0.01322,Seed Dispersal,28
Utqiagvik_2010,0.666888,0.451998,-0.27512,1.519428,Leaf Senescence,312
Utqiagvik_2011,-0.74339,0.53762,-1.91471,0.240406,Green up,374
Utqiagvik_2011,-2.42087,0.646306,-3.78372,-1.21496,Flowering,603
Utqiagvik_2011,-1.95346,0.616666,-3.20412,-0.72217,End of Flowering,554
Utqiagvik_2011,-2.77931,1.927318,-6.88257,0.857053,Fruiting,342
Utqiagvik_2011,-2.94813,1.505591,-5.99725,-0.01585,Seed Dispersal,59
Utqiagvik_2011,0.703302,0.452886,-0.23248,1.567843,Leaf Senescence,113
Utqiagvik_2012,-0.75041,0.545333,-1.96174,0.241754,Green up,383
Utqiagvik_2012,-2.41344,0.650012,-3.7673,-1.20948,Flowering,583
Utqiagvik_2012,-2.00323,0.634491,-3.31081,-0.75279,End of Flowering,571
Utqiagvik_2012,-2.42434,1.91099,-6.42443,1.182305,Fruiting,335
Utqiagvik_2012,-2.85224,1.494409,-5.85746,0.082973,Seed Dispersal,94
Utqiagvik_2012,0.972074,0.545861,-0.03904,2.152455,Leaf Senescence,199
Utqiagvik_2013,-0.74076,0.56441,-1.95197,0.312317,Green up,410
Utqiagvik_2013,-2.33112,0.672134,-3.70869,-1.05079,Flowering,688
Utqiagvik_2013,-2.03248,0.648912,-3.36263,-0.75302,End of Flowering,630
Utqiagvik_2013,-2.36642,1.91161,-6.36865,1.225605,Fruiting,463
Utqiagvik_2013,-2.89936,1.496314,-5.88365,0.03933,Seed Dispersal,126
Utqiagvik_2014,-0.69836,0.539974,-1.848,0.319757,Green up,475
Utqiagvik_2014,-2.45631,0.658363,-3.82412,-1.24204,Flowering,651
Utqiagvik_2014,-1.96193,0.633037,-3.25007,-0.72455,End of Flowering,434
Utqiagvik_2014,-2.77821,1.918844,-6.86662,0.844388,Fruiting,268
Utqiagvik_2014,-2.93627,1.497227,-5.9582,-0.03876,Seed Dispersal,74
Utqiagvik_2014,0.745776,0.439366,-0.16048,1.602359,Leaf Senescence,216
Utqiagvik_2015,-0.71881,0.61596,-2.02902,0.463089,Green up,477
Utqiagvik_2015,-2.33293,0.677822,-3.71465,-1.03699,Flowering,577
Utqiagvik_2015,-2.01844,0.664766,-3.38018,-0.7341,End of Flowering,485
Utqiagvik_2015,-2.20232,1.951077,-6.27661,1.450666,Fruiting,354
Utqiagvik_2015,-2.69927,1.613727,-5.90135,0.567123,Seed Dispersal,146
Utqiagvik_2015,0.996113,0.535312,0.0114,2.15799,Leaf Senescence,515
Utqiagvik_2016,-0.75697,0.555188,-1.99453,0.25883,Green up,483
Utqiagvik_2016,-2.39149,0.654535,-3.74893,-1.16427,Flowering,703
Utqiagvik_2016,-1.94647,0.622184,-3.19671,-0.70817,End of Flowering,650
Utqiagvik_2016,-2.4533,1.912848,-6.46815,1.162264,Fruiting,476
Utqiagvik_2016,-2.89277,1.486654,-5.88374,0.063916,Seed Dispersal,151
Utqiagvik_2016,0.670977,0.450817,-0.27475,1.519261,Leaf Senescence,675
Utqiagvik_2017,-0.6998,0.537626,-1.8629,0.309786,Green up,474
Utqiagvik_2017,-2.41384,0.654772,-3.76043,-1.19865,Flowering,630
Utqiagvik_2017,-1.96971,0.617372,-3.22367,-0.75624,End of Flowering,605
Utqiagvik_2017,-2.50778,1.910082,-6.46977,1.073833,Fruiting,406
Utqiagvik_2017,-2.8701,1.492022,-5.84531,0.011711,Seed Dispersal,101
Utqiagvik_2017,0.790679,0.432489,-0.07294,1.673299,Leaf Senescence,507
Utqiagvik_2018,-0.69938,0.61125,-2.00647,0.458908,Green up,492
Utqiagvik_2018,-2.54291,0.687735,-4.00535,-1.28621,Flowering,602
Utqiagvik_2018,-1.92538,0.648947,-3.20043,-0.63534,End of Flowering,396
Utqiagvik_2018,-2.93277,1.956603,-7.10235,0.769688,Fruiting,183
Utqiagvik_2018,-2.96542,1.525652,-6.06429,0.047851,Seed Dispersal,44
Utqiagvik_2018,0.623503,0.502822,-0.42755,1.587593,Leaf Senescence,514
Utqiagvik_2019,-0.68856,0.540323,-1.83784,0.316839,Green up,507
Utqiagvik_2019,-2.42612,0.645699,-3.78476,-1.2353,Flowering,555
Utqiagvik_2019,-1.99152,0.619382,-3.24495,-0.80042,End of Flowering,527
Utqiagvik_2019,-2.58521,1.90353,-6.57783,0.99526,Fruiting,359
Utqiagvik_2019,-2.95627,1.53462,-6.12273,0.062725,Seed Dispersal,169
Utqiagvik_2019,0.752914,0.429188,-0.11555,1.611598,Leaf Senescence,711
Daring Lake_2001,-2.47302,0.657807,-3.84288,-1.25883,Flowering,69
Daring Lake_2001,-1.93307,0.657896,-3.24098,-0.6255,End of Flowering,45
